No,心情語・慣用表現,読み,意味・ニュアンス,入試物語文での代表的な場面・文脈例,小学生がつまずきやすい点・類語との識別ポイント
167,頭が下がる,あたまがさがる,相手の高潔な行いや努力に感心し、尊敬の念を抱くこと。,毎朝誰よりも早く登校して、一人で黙々と教室のゴミ拾いを続けている友人の姿を見る場面。,身体表現慣用句。「相手の立派さに圧倒され、心から敬服する」こと。
168,舌を巻く,したをまく,あまりの素晴らしさや力量にひどく感心し、驚くこと。,小学生とは思えない圧倒的なバイオリンの超絶技巧を目の当たりにする場面。,驚きと賞賛の合体表現。「呆れる」とは異なり、肯定的評価が100%。
169,白眼視する,はくがんしする,人を冷たい目で見ること。冷淡に扱うこと。,不祥事を起こしたグループのメンバーが、周囲の生徒たちから冷ややかに避けられる場面。,故事成語由来。「相手を軽蔑し、仲間として認めない冷たい拒絶の視線」。
170,憐憫,れんびん,不憫に思うこと。哀れむこと。,捨てられた子犬が雨に打たれて震えているのを見て、胸を締め付けられる場面。,「憐憫の情」。他者の苦痛や不幸に対して湧き上がる純粋な哀憐の情念。
171,慈しみ,いつくしみ,目下の者や弱い者を愛し、大切にする温かい心。,生まれたばかりの小さな妹を抱き上げ、壊れ物を扱うようにそっと撫でる場面。,親が子に注ぐような、あるいは強者が弱者を包み込むような無償の愛の感情。
172,気兼ね,きがね,他人に遠慮して、気を遣うこと。,居候している親戚の家で、夜遅くに物音を立てないよう息を潜めて生活する場面。,「遠慮」の同義語。他者の視線や迷惑を過剰に意識して自由を制限する心理。
173,疎ましい,うとましい,嫌で遠ざけたい気持ちである。煙たくて不快なさま。,何でも先回りして口を出してくる母親の過干渉な態度を、うるさく感じる場面。,嫌悪の感情。「親しい関係であるはずなのに、鬱陶しくて距離を置きたい」心理。
174,煙たがる,けむたがる,窮屈で近づきにくく思うこと。敬遠すること。,正論ばかりを突きつけてくる真面目な副部長を、部員たちが何となく避ける場面。,相手の存在が自分の後ろめたさや自由を脅かすため、「気まずくて避けたい」態度。
175,軽蔑,けいべつ,相手の人格や価値を低く見て、見下げて馬鹿にすること。,自分の失敗を誤魔化すために、幼い後輩に罪をなすりつけた先輩の姿を見る場面。,能力の低さではなく、「卑劣な人間性に対する強い拒絶と見下し」。
176,見くびる,みくびる,相手の実力を大したことがないと甘く見ること。見下げること。,「あんな小さな選手に何ができる」と高をくくっていたら、鋭いドリブルで翻弄される場面。,「侮る」「高をくくる」と同義。相手を過小評価する傲慢な心理。
177,健気,けなげ,幼い者や弱い者が、困難に負けず懸命に努力する様子。殊勝なさま。,入院中の母親を励まそうと、覚えたての料理を一生懸命に作る少年の場面。,人物の性質描写であると同時に、「それを見た語り手が心を打たれ愛しく思う」感情の投射。
178,いたいけ,いたいけ,幼くて愛らしく、いじらしい様子。守ってあげたくなるさま。,迷子になりながらも、泣かずに母親の名前を一生懸命に警察官に伝えようとする幼児の場面。,「健気」と近縁だが、より「無垢な幼さ・弱々しさとそれに対する保護本能」を強調。
179,親近感,しんきんかん,自分と似た点があり、親しみやすく近づきやすいと感じる気持ち。,同じ本を愛読していることを知り、無口だった転校生に対して急に心が近づく場面。,他者との距離が一気に縮まるきっかけとなるポジティブな共感感情。
180,憧憬,どうけい / しょうけい,あこがれること。遠く手の届かない素晴らしいものに心を惹かれること。,都会の洗練された生活や、世界で活躍する探検家の手記を読んで胸を焦がす場面。,「あこがれ」の改まった漢語表現。難関校の心情記述や随筆文の頻出語。
181,恩に着る,おんにきる,人から受けた親切や助けをありがたく思い、心に留めること。,絶体絶命のピンチを救ってくれた友人に、「この借りは一生忘れない」と感謝する場面。,単なる「ありがとう」ではなく、「相手の情義に報いなければならない」という重みを含む。
182,邪推,じゃすい,他人の言動を、悪意や下心があるのではないかと悪く推測すること。,単なる善意でノートを貸してくれた友人に対し、「恩を売る気ではないか」と疑う場面。,心の歪みから生じる誤った解釈。「うがった見方（本来の誤用文脈）」に近似。
