No,カテゴリ,心情語・慣用表現,読み,難易度,意味・ニュアンス,入試物語文での代表的な場面・文脈例,小学生がつまずきやすい点・類語との識別ポイント
31,1. 恥・劣等感・気まずさ,肩をすぼめる,かたをすぼめる,並,気まずさ、恥ずかしさ、恐縮、または諦めから身体を縮めること。,自分の失敗をみんなの前で指摘され、小さく肩をすぼめて小さくなる場面。,寒さによる身体反応ではなく、「気まずさや申し訳なさから自己の存在感を小さくしようとする」動作表現。
32,1. 恥・劣等感・気まずさ,恥をかく,はじをかく,並,人前で失敗や醜態をさらし、体面を失って恥ずかしい思いをすること。,知ったかぶりをして大声で解説していた知識が全くのデタラメだと指摘され、赤面する場面。,「顔から火が出る」等の慣用表現とセットで使われる、体面（プライド）の失墜を表す基本語。
33,1. 恥・劣等感・気まずさ,身の縮む思い,みのちぢむおもい,中,極度の恥ずかしさや恐縮、または恐怖から、身体が小さく縮こまるように感じること。,自分の軽はずみな行動が原因で大騒動になり、大勢の大人たちから厳しく見つめられる場面。,単なる反省ではなく、「その場から消え去りたいほどの強烈な羞恥と居たたまれなさ」。
34,1. 恥・劣等感・気まずさ,汗顔の至り,かんがんのいたり,高,極めて恥ずかしく、顔に冷や汗が出るほど申し訳なく思うこと。,自分の狭い了見を恥じ、高潔な友人の真意を知って心から己を恥じ入る回想場面。,難関校の語彙問題や大人の回想記述で頻出。「汗顔（顔に汗をかく）」＝極度の恥。
35,2. 誇り・自尊心・優越感,誇らしい,ほこらしい,並,自分のしたことや自分の属する集団を誇りに思い、胸を張りたい気持ち。,困難な課題を仲間とやり遂げ、観衆から惜しみない拍手を送られている場面。,単なる「嬉しい」ではなく、「自己の存在や努力の価値を高く認める」感情。
36,2. 誇り・自尊心・優越感,矜持,きょうじ / きんじ,高,自分の能力や立場に対する誇り・プライド。自負。,職人である祖父が、安価な大量生産品に流されず手作業の質を頑なに守り抜く場面。,「意地」よりも格調が高く、「自己の信念や職責に対する高潔なプライド」を指す。
37,2. 誇り・自尊心・優越感,自負,じふ,高,自分の才能や仕事に自信と誇りを持つこと。またその心。,「この学年で誰よりも数学の問題を解いてきた」という確信を胸に試験に臨む場面。,傲慢なニュアンスは薄く、「確固たる努力に基づく正当な自信」を表す。
38,2. 誇り・自尊心・優越感,自尊心,じそんしん,中,自分自身を尊び、品格を保とうとする心情。プライド。,貧しさを理由に同情して施しを与えようとする相手の手を、きっぱりと拒絶する場面。,「プライド」の和訳語。傷つけられたときに怒りや反発の原動力となる。
39,2. 誇り・自尊心・優越感,プライド,ぷらいど,並,誇り、自尊心。時に見栄や頑迷さを含む。,先輩のアドバイスに従えば上達すると分かっているのに、素直に頭を下げられない場面。,肯定的文脈（誇り）と否定的文脈（くだらない意地）の両面で使われる。
40,2. 誇り・自尊心・優越感,優越感,ゆうえつかん,中,自分が他人よりも優れているという満足感・得意な気持ち。,難問を自分一人だけが正解し、周囲が頭を抱えているのを見てほくそ笑む場面。,単独での喜びではなく、「常に他者との比較において自分が上である」快意。
41,2. 誇り・自尊心・優越感,鼻が高い,はながたかい,中,得意になっていること。誇らしく思うこと。,自分の妹がピアノコンクールで優勝し、近所の人々から口々に賞賛される場面。,自分のことだけでなく、「身内や仲間の活躍を我がことのように誇る」際にも使用。
42,2. 誇り・自尊心・優越感,胸を張る,むねをはる,並,自信や誇りを持って、堂々とした態度をとること。,厳しい練習を一日も休まず耐え抜き、堂々と開会式の行進を行う場面。,身体の姿勢だけでなく、「やましいところが一切なく自信に満ちている」心理。
43,2. 誇り・自尊心・優越感,得意満面,とくいまんめん,中,いかにも自慢げで、満足しきった表情を顔全体に浮かべること。,予想が的中してライバルに大差で勝利し、意気揚々と控室に戻ってくる場面。,内面の誇りが「外見・表情に露骨に溢れ出ている」様子を示す四字熟語。
44,2. 誇り・自尊心・優越感,有頂天,うちょうてん,中,喜びや得意さのあまり、我を忘れて夢中になっていること。,初めて描いた絵が金賞を取り、褒めそやされて地に足がつかない状態の場面。,ポジティブな喜びだが、「舞い上がりすぎて周囲が見えなくなっている」危うさを含む。
45,2. 誇り・自尊心・優越感,鼻にかける,はなにかける,中,自慢する。得意がる態度をとること。,名門校に通っていることを鼻にかけ、地元の友人たちに対して偉そうな口調をとる場面。,「鼻が高い（誇る）」と異なり、客観的に「嫌味な自慢をしている」批判的ニュアンス。
46,2. 誇り・自尊心・優越感,意気揚々,いきようよう,中,得意げで、元気や勢いに満ちあふれている様子。,逆転ゴールを決めたヒーローが、歓声を送る応援スタンドに向かって手を振る場面。,勝利や成功による高揚感と誇らしさが、前向きなエネルギーとなっている様。
47,2. 誇り・自尊心・優越感,面目を保つ,めんぼくをたもつ,高,世間体や名誉を失わずに済むこと。プライドを守り抜くこと。,追いつめられたキャプテンが、最終打席で意地の同点ヒットを放つ場面。,「面目を失う」の対義語。周囲からの期待や体面をギリギリで死守した安堵と誇り。
48,2. 誇り・自尊心・優越感,名誉,めいよ,並,優れていると認められ、世間から尊ばれること。またその誇り。,学校の歴史の中で初の全国大会出場を果たし、校史に名前を刻む場面。,社会的評価とそれに伴う個人の誇り。記述のキーワードとして頻出。
49,2. 誇り・自尊心・優越感,高慢,こうまん,高,自分の才能や地位を誇って、他人を見下し侮ること。,成績優秀であることを鼻にかけ、努力が実らないクラスメイトを嘲笑する場面。,「自負」が健全な誇りであるのに対し、「高慢」は他者への侮蔑を含む否定表現。
50,2. 誇り・自尊心・優越感,慢心,まんしん,高,いい気になって驕り高ぶること。油断を生む自己過信。,予選を圧勝したことで「本戦も楽勝だ」と練習の手を抜き始めるチームの場面。,成長を阻害し挫折の原因となる「過信」。物語の転換点（失敗の伏線）に頻出。
51,2. 誇り・自尊心・優越感,自惚れ,うぬぼれ,中,実際以上に自分が優れていると思い込んで得意がること。,「自分がいなければこの合唱団は成り立たない」と一人で思い込んでいる場面。,客観的実力と自己認識が乖離していることに対する皮肉・批判的表現。
52,2. 誇り・自尊心・優越感,見下す,みくだす,並,相手を自分より劣るものとして、軽く見たり馬鹿にしたりすること。,都会から来た主人公が、田舎の学校の設備や素朴な同級生の遊びを嘲笑する場面。,心理のベクトルが「他者を低く評価する」方向に向いていることを明示する語。
53,2. 誇り・自尊心・優越感,鼻であしらう,はなであしらう,高,相手の言葉や態度を冷淡に無視し、小馬鹿にした扱いをすること。,真剣にアドバイスをくれる友人の話を、「ふん」と嘲笑して聞く耳を持たない場面。,軽蔑や傲慢さが外的な言動・態度として表出した慣用句。
54,2. 誇り・自尊心・優越感,高をくくる,たかをくくる,高,相手の力量や事態の進展を大したことではないと安易に見積もること。,「あいつの球なら簡単に打てる」と甘く見て、凡打に倒れてしまう場面。,油断や侮留の心理。「過小評価して侮る」という意味で選択肢に頻出。
55,2. 誇り・自尊心・優越感,一矢報いる,いっしむくいる,高,圧倒的に不利な状況で、相手の攻撃や侮辱に対して少しでも反撃すること。,実力差のある強豪校に大敗したものの、相手のエースから意地で1点をもぎ取る場面。,敗北の中でも「プライドを守るために意地を見せた」複雑な心情を表現する。
56,2. 誇り・自尊心・優越感,晴れがましい,はれがましい,高,華やかで誇らしく、堂々と晴れやかな気持ちであること。,卒業式で全校生徒を代表して答辞を読み、全員の注目を浴びている場面。,人前に立つ照れくささ（面はゆさ）と、選ばれたことへの誇らしさが同居する。
57,2. 誇り・自尊心・優越感,威厳,いげん,中,近寄りがたいほど堂々として厳かな様子・気品。,頑固な老職人が一言も発さずに仕事場に入ってきただけで、若手が静まり返る場面。,個人の精神的成熟や信念から滲み出る、他者を圧倒する誇りと重み。
58,2. 誇り・自尊心・優越感,尊厳,そんげん,高,尊く冒してはならないこと。人間としての侵すべからざる品位。,不当な差別に晒されながらも、決して暴力に訴えず気高く信念を主張し続ける場面。,人間としての根源的なプライド。論説文や社会派物語文の最重要概念語。
59,2. 誇り・自尊心・優越感,凱歌を上げる,がいかをあげる,高,勝利を喜び、誇らかに祝うこと。,宿敵との長い戦いに決着をつけ、抱き合って優勝旗を掲げる場面。,単なる喜びを超え、「戦いに打ち勝った誇りと達成感」が爆発する情景。
60,2. 誇り・自尊心・優越感,悦に入る,えつにいる,高,自分のしたことが思い通りになり、独り満足して喜ぶこと。,自分で仕掛けた手の込んだ悪戯が完璧に成功し、物陰で一人ほくそ笑んでいる場面。,周囲と分かち合う喜びではなく、「自己満足に浸って得意がる」やや批判的なニュアンス。
61,2. 誇り・自尊心・優越感,鼻を明かす,はなをあかす,中,優位に立って威張っていた相手を出し抜き、あっと言わせて見返すこと。,いつも見下して馬鹿にしてきたライバルに対し、猛特訓した新技で見事に一本勝ちを収める場面。,「鼻が高い（誇らしい）」と区別。「相手の慢心を打ち砕いて驚かせ、快哉を叫ぶ」逆転のニュアンス。
62,2. 誇り・自尊心・優越感,ほくそ笑む,ほくそえむ,中,計画が思い通りに運んだり優位に立ったりして、陰でひそかに満足して笑うこと。,罠にかかった相手が右往左往しているのを、物陰から冷ややかに見下ろして満足する場面。,単なる笑顔ではなく、「悪意や優越感を含んだ、他人には見せないひそかな満足の笑み」。
63,2. 誇り・自尊心・優越感,気を良くする,きをよくする,並,褒められたり物事が思い通りに進んだりして、機嫌が良くなり気分を高揚させること。,厳しい師匠から「筋がいい」と一言褒められ、途端にやる気を出して練習に励む場面。,「うれしい」から一歩進み、「自尊心が満たされて意欲や機嫌が前向きになる」心の弾み。
64,2. 誇り・自尊心・優越感,意気盛ん,いきさかん,中,気力や意気込みが非常に充実し、勢いがある様子。,緒戦を快勝で飾り、勢いに乗って「次の強豪も絶対に倒す」とチーム全体が活気づく場面。,自信と闘志に満ち溢れている状態を表す。「意気揚々」が勝利後の誇りなら、「意気盛ん」は前進の勢い。
65,2. 誇り・自尊心・優越感,得意げ,とくいげ,並,誇らしく満足そうな様子が、表情や態度にありありと表れていること。,誰も解けなかった難問の解き方を黒板に書き、席に戻る際に見せる自慢げな態度。,「得意満面」の日常的表現。他者に対して「どうだ」と見せつけたい自負心を含む。
66,2. 誇り・自尊心・優越感,堂々たる,どうどうたる,並,少しも動じる様子がなく、立派で威厳に満ちているさま。,完全アウェイのプレッシャーの中、胸を張ってグラウンドの中央に進み出る主将の姿。,外見の大きさだけでなく、「内面の確固たる信念や自信から生まれる揺るぎなさ」。
67,2. 誇り・自尊心・優越感,肩で風を切る,かたでかぜをきる,中,得意満面で、周囲を見下すように威張って大手を振って歩く様子。,選考会でトップ通過を果たした少年が、傲慢な態度で廊下を歩き周囲を威圧する場面。,誇りの過剰化としての「慢心・思い上がり」を批判的に描写する慣用句。
68,2. 誇り・自尊心・優越感,鼻高々,はなたかだか,並,得意になって自慢そうにする様子。,自分の描いたポスターが街中に貼られ、友達にそれを見せびらかしながら歩く場面。,「鼻が高い」の強調語。周囲に対して得意げに見せびらかす心理。
69,3. 葛藤・戸惑い・もどかしさ,後ろめたい,うしろめたい,中,自分の行いにやましい点があり、気がとがめること。,友人が落とした定期券を拾ったのに、拾得物として届けずポケットに入れたままにする場面。,単なる「申し訳ない」ではなく、「秘密にしている悪事に対する良心の呵責」。
70,3. 葛藤・戸惑い・もどかしさ,やましい,やましい,中,良心に恥じる点がある。後ろめたい。,嘘をついて宿題を忘れた言い訳をし、先生がそれを信じて心配してくれた場面。,「後ろめたい」とほぼ同義。内心の不正・不正義に対する罪悪感。
71,3. 葛藤・戸惑い・もどかしさ,気が咎める,きがとがめる,中,自分のしたことについて、良心が痛んで悪く思うこと。,自分だけが早く帰宅して遊び、残された係の仲間が重労働をしているのを知った場面。,「咎める（責める）」の主語は自分の良心。「自責の念」と同義。
72,3. 葛藤・戸惑い・もどかしさ,もどかしい,もどかしい,中,思うようにならず、じれったくて歯がゆいこと。,足を怪我したため、目の前でピンチに陥っているチームをベンチから見守るしかない場面。,「悲しい」ではなく、「自らの無力さや障害のせいで事態を好転させられない苛立ち」。
73,3. 葛藤・戸惑い・もどかしさ,歯がゆい,はがゆい,中,自分の力ではどうにもならず、もどかしくていらだたしいこと。,幼い弟が一生懸命に靴紐を結ぼうとして何度も失敗するのを、手を貸さず見守る場面。,「もどかしい」の同義語。手を出したいのに出せないもどかしさを表す。
74,3. 葛藤・戸惑い・もどかしさ,じれったい,じれったい,並,物事が早く思い通りに進まなくて、苛立つ気持ち。,肝心な告白をなかなか切り出せない友人の遠回りな話し方に、横でやきもきする場面。,時間の遅さや相手の要領の悪さに対する「苛立ちを含んだ焦燥感」。
75,3. 葛藤・戸惑い・もどかしさ,割り切れない,わりきれない,中,理屈では納得できても、感情の上では受け入れられずわだかまりが残ること。,規則違反だからと親友を失格にした審判の判定は正しいと知るが、納得できない場面。,論理（正論）と心情の対立を表す最重要語。記述問題の結びで極めて重宝される。
76,3. 葛藤・戸惑い・もどかしさ,腑に落ちない,ふにおちない,中,いくら考えても納得がいかない。合点がいかないこと。,練習熱心だったエースが、大会直前に突然「部活を辞める」と言い出した場面。,「腑＝はらわた（心意）」。事実として受け入れられない論理的不審・疑問。
77,3. 葛藤・戸惑い・もどかしさ,釈然としない,しゃくぜんとしない,高,疑いや不満が心の中に残り、すっきりと晴れ晴れしないこと。,相手が形式的に謝罪してきたものの、反省の態度が全く見られない場面。,表面上は解決した事態に対し、感情的な不信感がくすぶり続けている状態。
78,3. 葛藤・戸惑い・もどかしさ,葛藤,かっとう,中,相反する二つの欲求や感情が心の中に存在し、どちらを選ぶべきか苦悩すること。,親友の不正を告発して正義を貫くべきか、黙認して友情を守るべきか悩む場面。,単なる「悩み」ではなく、「AとBの対立する選択肢の間で引き裂かれる苦しみ」。
79,3. 葛藤・戸惑い・もどかしさ,逡巡,しゅんじゅん,高,決断がつかず、ぐずぐずと迷い躊躇すること。,危険な川に飛び込んで流された犬を助けるべきか、恐怖から足がすくんで迷う場面。,「ためらい」の改まった表現。難関校の本文読解や選択肢で頻出。
80,3. 葛藤・戸惑い・もどかしさ,ためらう,ためらう,並,どうすべきかあれこれ迷って、決心がつかないこと。,職員室のドアの前まで来たが、真実を打ち明ける勇気が出ずノブから手を離す場面。,行動の直前における内面的な迷いや二の足を踏む心理。
81,3. 葛藤・戸惑い・もどかしさ,躊躇する,ちゅうちょする,中,あれこれ迷って行動に踏み切れないこと。,ライバルが落とした道具を拾ってあげるべきか、一瞬立ち止まって迷う場面。,「ためらう」の漢語表現。記述問題の字数調整や選択肢照合で頻繁に交替する。
82,3. 葛藤・戸惑い・もどかしさ,二の足を踏む,にのあしをふむ,中,先に進むのをためらい、しり込みすること。,冬の厳しい山に登る過酷な訓練メニューを聞かされ、参加を申し出るのをためらう場面。,「一歩目は出たが二歩目が止まる」意。恐怖や慎重さからの躊躇。
83,3. 葛藤・戸惑い・もどかしさ,尻込みする,しりごみする,中,恐れたり圧倒されたりして、後退りすること。ためらうこと。,大勢の観客の前でスピーチをする役に指名され、不安から辞退しようとする場面。,積極性を失い、恐怖や気後れから身を引こうとする態度・心情。
84,3. 葛藤・戸惑い・もどかしさ,たじろぐ,たじろぐ,高,相手の気迫や予期せぬ出来事に圧倒され、ひるむこと。,穏やかだった祖父が、主人公の軽率な嘘に対して雷のような怒声を放った場面。,相手の強大な力や予期せぬ衝撃に対し、精神的・身体的に圧倒されて怯むこと。
85,3. 葛藤・戸惑い・もどかしさ,戸惑う,とまどう,並,どうしてよいか分からず、まごまごすること。迷うこと。,今まで冷淡だったクラスメイトから、急に親しげに話しかけられて真意が読めない場面。,予想外の事態に直面し、「状況の解釈や対応の仕方が定まらない」困惑。
86,3. 葛藤・戸惑い・もどかしさ,途方に暮れる,とほうにくれる,中,手段や方法を見失い、どうしてよいか全く分からなくなること。,知らない街で財布を落とし、日も暮れて連絡手段も尽きてしまった場面。,単なる迷いではなく、「打つ手（方策）が完全に尽きて絶望的に立ち尽くす」心理。
87,3. 葛藤・戸惑い・もどかしさ,板挟み,いたばさみ,中,対立する二者の間に立ち、どちらにも味方できず苦しむこと。,母と祖母の意見の対立の間に立たされ、どちらの味方をしても角が立つ場面。,人間関係における典型的な葛藤シチュエーション。
88,3. 葛藤・戸惑い・もどかしさ,自問自答,じもんじとう,中,自分の心の中で問いを投げかけ、自分でそれに答えようと深く悩むこと。,「自分は本当に医者になりたいのか、それとも親を喜ばせたいだけなのか」と自省する場面。,内面的成長を描く独白シーンで頻出。他者ではなく自分自身と向き合う苦悩。
89,3. 葛藤・戸惑い・もどかしさ,首をかしげる,くびをかしげる,並,不思議に思う。疑問や不審を抱くこと。,練習では一度もミスをしなかった友人が、本番で不可解なオウンゴールをした場面。,動作を通じて「完全には納得・理解できない疑念や違和感」を表現する慣用句。
90,3. 葛藤・戸惑い・もどかしさ,煮え切らない,にえきらない,中,態度や意見がはっきりせず、ぐずぐずしている様子。,どちらのグループに所属するか尋ねられているのに、曖昧な返答を繰り返す場面。,他者から見た「優柔不断さ」に対するもどかしさの文脈で頻出。
91,3. 葛藤・戸惑い・もどかしさ,口をつぐむ,くちをつぐむ,中,言いたいことや知っていることがあるのに、黙って話さないこと。,犯人を知っているが、告げることで生じる友情の崩壊を恐れて沈黙を守る場面。,単に静かなのではなく、「強い意志や葛藤のもとで言葉を飲み込む」動作表現。
92,3. 葛藤・戸惑い・もどかしさ,言い淀む,いいよどむ,高,言葉がすらすらと出ず、口ごもること。,相手を傷つけるかもしれない事実を伝える際、最初の一言が喉につかえる場面。,言葉に詰まる身体反応を通じて、相手への配慮や自己の迷いを象徴する。
93,3. 葛藤・戸惑い・もどかしさ,心が揺れる,こころがゆれる,並,決意がぐらつき、迷いが生じること。,志望校を変えないと決めていたが、恩師から別の道を提案されて気持ちが傾く場面。,安定していた心情が、新たな出来事によって不安定になり葛藤する様。
94,3. 葛藤・戸惑い・もどかしさ,踏ん切りがつかない,ふんぎりがつかない,中,あれこれ迷って、最終的な決断や思い切りが下せないこと。,愛着のある古いバイオリンを手放して新しい楽器に移る決意が、どうしても固まらない場面。,未練や不安が邪魔をして、最後の決断に踏み切れないもどかしい心理。
95,3. 葛藤・戸惑い・もどかしさ,気が進まない,きがすすまない,並,気乗りがせず、積極的に行動する意欲が湧かないこと。,乗り気になれない遊びの誘いを受け、断る理由を探しながらため息をつく場面。,「拒絶」まではいかないが、「内心では行きたくない・やりたくないという消極的な心理」。選択肢頻出。
96,3. 葛藤・戸惑い・もどかしさ,気が重い,きがおもい,並,先の義務や困難な出来事を予想して心が沈み、憂鬱になること。,明日の朝一番に苦手な面談が控えており、前夜から胸が締め付けられるように沈み込む場面。,単なる悲哀ではなく、「未来に待ち受ける重圧や困難に対する精神的プレッシャー・憂鬱」。
97,3. 葛藤・戸惑い・もどかしさ,後ろ髪を引かれる,うしろがみをひかれる,中,未練や心残りがして、その場を立ち去ったり決断したりしきれないこと。,仲間たちを残して一人だけ安全な場所へ避難する際、何度も振り返り足が進まない場面。,「立ち去らなければならない義務」と「残りたい未練・名残惜しさ」の葛藤を表す最重要慣用句。
