No,心情語・慣用表現,読み,意味・ニュアンス,入試物語文での代表的な場面・文脈例,小学生がつまずきやすい点・類語との識別ポイント
126,怒髪天を衝く,どはつてんをつく,激しい怒りのために、髪の毛が逆立ち天を突き刺すほどであること。,最も信頼していたパートナーが、敵と通じて全員を裏切っていたと知った瞬間。,怒りの度合いが極大であることを示す故事成語的表現。
127,面白くない,おもしろくない,気に入らなくて不愉快である。満足できず不満であること。,自分より下手だった後輩が、監督から先にレギュラーに指名されて面白くない場面。,退屈（not interesting）ではなく、「プライドを傷つけられ不機嫌になる」心理。
128,毒づく,どくづく,悪口や恨み言を並べ立てて、怒りや不満をぶつけること。,誰も助けてくれない雨の中、びしょ濡れで自転車を漕ぎながら一人悪態をつく場面。,鬱屈した不満を吐き出す言語行動。「悪態をつく」と同義。
129,うんざりする,うんざりする,嫌なことが繰り返されたり長く続いたりして、嫌気が差し飽き飽きすること。,母親から毎日同じ小言を何時間も聞かされ、耳を塞ぎたい衝動に駆られる場面。,激しい怒りではなく、「度重なるストレスによる精神的疲労と強い拒絶反応」。
130,煩わしい,わずらわしい,手間がかかったり人間関係が複雑だったりして、面倒で気が重く不快なさま。,周囲の顔色を伺いながら本音を隠して付き合わねばならないクラスの空気を嫌悪する場面。,単なる「面倒」ではなく、「精神的拘束から逃れて自由になりたい」苛立ち。
131,恨めしい,うらめしい,相手の無情な仕打ちや理不尽な事態に対し、恨みに思い憎らしく感じる気持ち。,待ちに待った遠足の朝、無情にも土砂降りの雨が降り注ぐ空を睨みつける場面。,人間だけでなく「天候や運命」に対しても向けられる、悲哀を含んだ不満・抗議の念。
132,呆れる,あきれる,あまりの非常識さや身勝手さ、度外れな行動に驚きあきれ果てること。,散々他人に迷惑をかけておきながら、自分の手柄のように自慢する友人の無神経さを見る場面。,「怒り」を通り越して「常識の通じなさに言葉を失い、相手にする気も失せる」感情。
133,ふくれっ面,ふくれっつら,不満やすねた気持ちを露わにして、頬を膨らませた不機嫌な表情。,兄ばかりを贔屓する親の言葉に納得がいかず、口を結んでそっぽを向く子どもの場面。,子ども特有の感情表出。「言葉で論理的に反論できない悔しさ」の身体的記号。
134,顔をしかめる,かおをしかめる,不快感、苦痛、嫌悪感から眉間にしわを寄せ顔を歪める身体表現。,他人の陰口で盛り上がっているグループの会話が耳に入り、思わず表情を曇らせる場面。,身体表現。「道義的な嫌悪感や生理的な不快さ」を外見で示す重要慣用句。
135,憤懣やるかたない,ふんまんやるかたない,腹の底に鬱積した激しい怒りや不満をぶつける先がなく、やりきれないさま。,明らかな誤審で敗北したにもかかわらず、規約によって一切の抗議が認められない場面。,最上位校必須語。「憤懣（怒り）」＋「やるかたない（晴らしようがない）」の構造。
136,煮え湯を飲まされる,にえゆをのまされる,最も信頼していた身近な相手から、手ひどい裏切りや打撃を受けること。,自分の研究ノートを預けていた共同研究者が、それを勝手に自分の名前で発表した場面。,単なる敗北ではなく、「信じていたからこその裏切りのショックと激しい憤怒」。
